OBJECTID,WELLWIDTH,WELLLENGTH,PAREAWIDTH,LOWWELL,SPECIES,STNAME,Location 1,StreetNumber,Address,Latitude,Longitude
373,0.0,0.0,7.0,,Malus sp,34TH ST,"460
Oakland, Ca
(37.80505999961946, -122.27301999967312)",460,"460 34TH ST, Oakland, CA",37.822339299999996,-122.26445815000001
380,0.0,0.0,3.0,,Persea sp / avocado,RICHMOND BL,"3027
Oakland, Ca
(37.80505999961946, -122.27301999967312)",3027,"3027 RICHMOND, Oakland, CA",37.8190902,-122.26011115
427,0.0,0.0,5.0,,Malus floribunda,SHAY DR,"7945
Oakland, Ca
(37.80505999961946, -122.27301999967312)",7945,"7945 SHAY DR, Oakland, CA",37.774020199999995,-122.1386531873541
1305,0.0,0.0,3.0,,Malus sp,POIRIER ST,"650
Oakland, Ca
(37.80505999961946, -122.27301999967312)",650,"650 POIRIER ST, Oakland, CA",37.8472555,-122.2672088783903
1479,2.0,3.0,0.0,,Malus sp,ALCATRAZ AV,"602
Oakland, Ca
(37.80505999961946, -122.27301999967312)",602,"602 ALCATRAZ AV, Oakland, CA",37.8501294,-122.2626032072034
1992,3.0,5.0,0.0,,Malus sp,BRYANT AV,"5314
Oakland, Ca
(37.80505999961946, -122.27301999967312)",5314,"5314 BRYANT AV, Oakland, CA",37.8380986,-122.25093412669904
2011,0.0,0.0,3.0,,Malus sp,BRYANT AV,"5314
Oakland, Ca
(37.80505999961946, -122.27301999967312)",5314,"5314 BRYANT AV, Oakland, CA",37.8380986,-122.25093412669904
2071,0.0,0.0,2.0,,Malus floribunda,COLBY ST,"6100
Oakland, Ca
(37.80505999961946, -122.27301999967312)",6100,"6100 COLBY ST, Oakland, CA",37.847969750000004,-122.2563625
2442,0.0,0.0,6.0,,Malus sp,CAPELL ST,"585
Oakland, Ca
(37.80505999961946, -122.27301999967312)",585,"585 CAPELL ST, Oakland, CA",37.8042739,-122.24034734834012
2465,0.0,0.0,3.0,,Eriobotrya japonica,EAST 31ST ST,"2218
Oakland, Ca
(37.80505999961946, -122.27301999967312)",2218,"2218 EAST 31ST ST, Oakland, CA",37.79841855,-122.22577135381833
2483,0.0,0.0,3.0,,Malus sp,EAST 28TH ST,"2135
Oakland, Ca
(37.80505999961946, -122.27301999967312)",2135,"2135 EAST 28TH ST, Oakland, CA",37.79491185,-122.22858030674243
2668,0.0,0.0,6.0,,Eriobotrya japonica,SUTER ST,"3300
Oakland, Ca
(37.80505999961946, -122.27301999967312)",3300,"3300 SUTER ST, Oakland, CA",37.793247,-122.20675328537182
3036,3.0,2.0,0.0,,Citrus sp,PIERSON ST,"3320
Oakland, Ca
(37.80505999961946, -122.27301999967312)",3320,"3320 PIERSON ST, Oakland, CA",37.781584699999996,-122.19057263868821
3116,0.0,0.0,2.0,,Eriobotrya japonica,MADERA AV,"3379
Oakland, Ca
(37.80505999961946, -122.27301999967312)",3379,"3379 MADERA AV, Oakland, CA",37.78162495,-122.19183852062764
3210,2.0,4.0,0.0,,Malus sp,COLE ST,"5300
Oakland, Ca
(37.80505999961946, -122.27301999967312)",5300,"5300 COLE ST, Oakland, CA",37.77334615,-122.1983360099677
3654,0.0,0.0,4.5,,Malus floribunda,109TH AV,"2025
Oakland, Ca
(37.80505999961946, -122.27301999967312)",2025,"2025 109TH AV, Oakland, CA",37.7390969,-122.15826168146123
