OBJECTID,WELLWIDTH,WELLLENGTH,PAREAWIDTH,LOWWELL,SPECIES,STNAME,Location 1
11,0,0,4,None,Liquidambar styraciflua,27TH ST,"470
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
8,5,7,0,None,Unknown,WEBSTER ST,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
24,6,9,0,Low,Liquidambar styraciflua,SUMMIT ST,"2844
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
18,3,3,0,Moderate,Tristaniopsis I. `Elegant,BROADWAY,"2345
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
12,7,7,0,Low,Unknown,BROADWAY,"2044
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13,4,8,0,Low,Liquidambar styraciflua,ADAMS ST,"330
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
27,0,0,6,None,Unknown,GRAND AV,"124
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
20,0,0,6,None,Unknown,GRAND AV,"124
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
1,4,4,0,None,Platanus acerifolia,FRANK H OGAWA PZ,"1421
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
16,5,5,0,Low,Platanus acerifolia,TELEGRAPH AV,"2600
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
28,0,0,4,None,Pyrus calleryana cvs,M L KING JR WY,"1115
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
29,6,9,0,Low,Unknown,WEBSTER ST,"2264
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
19,2,2,0,High,Fraxinus o. `Raywood',8TH ST,"107
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
23,3,3,0,Low,Dead,BROADWAY,"2417
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
2,5,5,0,None,Platanus acerifolia,11TH ST,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
22,6,6,0,None,Pyrus calleryana cvs,10TH ST,"555
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
10,0,0,4,None,Liquidambar styraciflua,27TH ST,"470
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
6,0,0,5,None,Liquidambar styraciflua,17TH ST,"666
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
21,5,7,0,None,Magnolia grandiflora,10TH ST,"555
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
5,4,9,0,None,Lophostemon confertus,HARRISON ST,"1331
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
3,3,3,0,Moderate,Gleditsia triacanthos,22ND ST,"561
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
7,2,3,0,None,Lophostemon confertus,7TH ST,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
26,3,3,0,None,Podocarpus gracilior,WEBSTER ST,"2325
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
25,3,3,0,Low,Tristaniopsis I. `Elegant,WEBSTER ST,"2325
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
16008,1.5,3,0,None,Pyrus calleryana cvs,GLEN AV,"54
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
253,4,4,0,Moderate,Platanus acerifolia,12TH ST,"171
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
44,3,6,0,Low,Pyrus calleryana cvs,17TH ST,"620
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
39,2,2,0,Low,Magnolia grandiflora,BROADWAY,"2865
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
37,2,3,0,Moderate,Prunus sp,10TH ST,"686
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
41,0,0,4,None,Cinnamomum camphora,KEMPTON AV,"3300
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
43,3,6,0,Low,Pyrus calleryana cvs,17TH ST,"620
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
58,3,9,0,Low,Podocarpus gracilior,CASTRO ST,"1812
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
55,2,2,0,None,Tristaniopsis I. `Elegant,BROADWAY,"2436
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
51,3,9,0,High,Unknown,OAKLAND AV,"375
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
35,5,6,0,None,Liquidambar styraciflua,ALICE ST,"1475
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
57,3,3,0,Low,Pyrus calleryana cvs,BROADWAY,"2619
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
53,3,8,0,Low,Pyrus calleryana cvs,16TH ST,"570
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
50,3,3,0,Moderate,Washingtonia robusta,JACKSON ST,"1540
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
36,3,8,0,Low,Ginkgo biloba,M L KING JR WY,"1807
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
45,0,0,4,None,Pyrus calleryana cvs,M L KING JR WY,"1115
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
32,5,4,0,Low,Prunus sp,4TH ST,"311
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
52,4,4,0,Low,Platanus acerifolia,BROADWAY,"2250
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
31,3,3,0,None,Platanus acerifolia,FRANKLIN ST,"801
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
46,3,4,0,High,Alnus rhombifolia,VAN BUREN AV,"360
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
56,3,4,0,Low,Pyrus calleryana cvs,BROADWAY,"2619
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
40,4,8,0,None,Magnolia grandiflora,11TH ST,"653
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
33,0,0,3,None,Prunus sp,VERNON ST,"414
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
34,4,4,0,Low,Acer sp,21ST ST,"635
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
42,0,0,6,None,Callistemon sp,31ST ST,"529
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
8635,0,0,5,None,Unknown,HILLSIDE ST,"7951
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
11835,5,8,0,Moderate,Liquidambar styraciflua,TELEGRAPH AV,"6407
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
61,4,9,0,Low,Gleditsia triacanthos,20TH ST,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
59,0,0,5,None,Liquidambar styraciflua,14TH ST,"685
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
77,5,5,0,None,Platanus acerifolia,BROADWAY,"1111
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
65,3,3,0,Low,Nyssa sylvatica,BROADWAY,"3001
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
75,2,4,0,Low,Platanus acerifolia,TELEGRAPH AV,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
68,0,0,3,None,Lophostemon confertus,TELEGRAPH AV,"2633
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
79,2,3,0,Low,Platanus acerifolia,ELM ST,"3232
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
70,6,10,0,Low,Platanus acerifolia,CITY HALL PZ,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
80,0,0,3,None,Podocarpus gracilior,28TH ST,"528
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
81,3,3,0,Low,Podocarpus gracilior,17TH ST,"540
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
72,0,0,5,None,Pyrus calleryana cvs,12TH ST,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
62,0,0,6,None,Acacia longifolia,4TH ST,"522
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
86,3,9,0,Moderate,Liquidambar styraciflua,OAKLAND AV,"311
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
60,4,4,0,None,Lagerstroemia indica,14TH ST,"685
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
83,3,3,0,None,Olea europaea,HARRISON ST,"1939
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
67,3,3,0,Low,Photinia sp,BROADWAY,"2417
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
87,5,6,0,Low,Sequoia sempervirens,ORANGE ST,"399
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
78,2,4,0,Low,Platanus acerifolia,ELM ST,"3232
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
85,5,5,0,None,Ginkgo biloba,M L KING JR WY,"1250
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
82,3,4,0,None,Robinia hybrid,16TH ST,"659
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
76,5,5,0,None,Platanus acerifolia,BROADWAY,"1111
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
64,2,3,0,Low,Platanus acerifolia,GRAND AV,"60
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
84,4,6,0,Low,Liquidambar styraciflua,17TH ST,"394
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
2230,3,6,0,None,Prunus cerasifera/blireiana,EAST 12TH ST,"655
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
93,4,5,0,None,Platanus acerifolia,14TH ST,"659
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
116,3,3,0,Low,Platanus racemosa,30TH ST,"400
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
113,2,3,0,None,Prunus cerasifera/blireiana,23RD ST,"206
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
101,4,6,0,Low,Platanus acerifolia,30TH ST,"450
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
95,0,0,3,None,Platanus acerifolia,17TH ST,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
100,0,0,2,None,Alnus rhombifolia,STATEN AV,"438
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
108,4,4,0,None,Platanus acerifolia,BROADWAY,"2029
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
96,4,4,0,Moderate,Maytenus boaria,NORTHGATE AV,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
98,3,3,0,Moderate,Prunus cerasifera/blireiana,FAIRMOUNT AV,"62
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
